"","Variable","Question"
"1","ID","0"
"2","Age","What is your age?"
"3","Gender","Are you male or female?"
"4","Education","What is the highest level of education you've completed?"
"5","Race","What is your race/ethnicity?"
"6","Income","What was your total household income last year?  (If a student, select your approximate family income)"
"7","Health","How do you feel about your general physical health these days?"
"8","Q185","Which gamble would you like to choose?"
"9","Q183","Which gamble would you like to choose?"
"10","X0_5_95","Which gamble would you like to choose?"
"11","X0_50_50","Which gamble would you like to choose?"
"12","X0_10_90","Which gamble would you like to choose?"
"13","X0_15_85","Which gamble would you like to choose?"
"14","X0_20_80","Which gamble would you like to choose?"
"15","X0_25_75","Which gamble would you like to choose?"
"16","X0_30_70","Which gamble would you like to choose?"
"17","X0_35_65","Which gamble would you like to choose?"
"18","X0_40_60","Which gamble would you like to choose?"
"19","X0_45_55","Which gamble would you like to choose?"
"20","CT1","Which gamble would you like to choose?"
"21","CT2","Which gamble would you like to choose?"
"22","X0.5_5_95","Which gamble would you like to choose?"
"23","X0.5_50_50","Which gamble would you like to choose?"
"24","X0.5_10_90","Which gamble would you like to choose?"
"25","X0.5_15_85","Which gamble would you like to choose?"
"26","X0.5_20_80","Which gamble would you like to choose?"
"27","X0.5_25_75","Which gamble would you like to choose?"
"28","X0.5_30_70","Which gamble would you like to choose?"
"29","X0.5_35_65","Which gamble would you like to choose?"
"30","X0.5_40_60","Which gamble would you like to choose?"
"31","X0.5_45_55","Which gamble would you like to choose?"
"32","CT1.1","Which gamble would you like to choose?"
"33","CT2.1","Which gamble would you like to choose?"
"34","n0.5_5_95","Which gamble would you like to choose?"
"35","n0.5_50_50","Which gamble would you like to choose?"
"36","n0.5_10_90","Which gamble would you like to choose?"
"37","n0.5_15_85","Which gamble would you like to choose?"
"38","n0.5_20_80","Which gamble would you like to choose?"
"39","n0.5_25_75","Which gamble would you like to choose?"
"40","n0.5_30_70","Which gamble would you like to choose?"
"41","n0.5_35_65","Which gamble would you like to choose?"
"42","n0.5_40_60","Which gamble would you like to choose?"
"43","n0.5_45_55","Which gamble would you like to choose?"
"44","CT1.2","Which gamble would you like to choose?"
"45","CT2.2","Which gamble would you like to choose?"
"46","X5_5_95","Which gamble would you like to choose?"
"47","X5_50_50","Which gamble would you like to choose?"
"48","X5_10_90","Which gamble would you like to choose?"
"49","X5_15_85","Which gamble would you like to choose?"
"50","X5_20_80","Which gamble would you like to choose?"
"51","X5_25_75","Which gamble would you like to choose?"
"52","X5_30_70","Which gamble would you like to choose?"
"53","X5_35_65","Which gamble would you like to choose?"
"54","X5_40_60","Which gamble would you like to choose?"
"55","X5_45_55","Which gamble would you like to choose?"
"56","CT1.3","Which gamble would you like to choose?"
"57","CT2.3","Which gamble would you like to choose?"
"58","n5_5_95","Which gamble would you like to choose?"
"59","n5_50_50","Which gamble would you like to choose?"
"60","n5_10_90","Which gamble would you like to choose?"
"61","n5_15_85","Which gamble would you like to choose?"
"62","n5_20_80","Which gamble would you like to choose?"
"63","n5_25_75","Which gamble would you like to choose?"
"64","n5_30_70","Which gamble would you like to choose?"
"65","n5_35_65","Which gamble would you like to choose?"
"66","n5_40_60","Which gamble would you like to choose?"
"67","n5_45_55","Which gamble would you like to choose?"
"68","CT1.4","Which gamble would you like to choose?"
"69","CT2.4","Which gamble would you like to choose?"
"70","Q241","I tried to solve the task on a gut level."
"71","Q243","I tried to solve the task mathematically."
"72","Q245","I tried to solve the task by focusing on how much money I could win."
"73","Q247","I tried to solve the task by focusing on how much money I could lose."
"74","Q249","I tried to solve the task by focusing on how likely it was that I would win."
"75","Q251","I tried to solve the task by focusing on how likely it was that I would lose."
"76","Q173","Have you ever made an investment where you lost some or all of the money you invested?"
"77","Q174","If yes, how many times did this happen?"
"78","Q175","How much money did you lose in dollars (even if you were later reimbursed)?"
"79","Q176","How long ago did you make the most recent investment?"
"80","Q177","Which statement below best describes why you lost money? - Selected Choice"
"81","Q177_5_TEXT","Which statement below best describes why you lost money? - Other: - Text"
"82","Q178","If you were misled or defrauded, did you report it to anyone?"
"83","Q179","Why didn't you report the incident? - Selected Choice"
"84","Q179_6_TEXT","Why didn't you report the incident? - Other: - Text"
"85","Q11","How able are you to detect a fraudulent investment? (select one)"
"86","Q13","How likely are you to make a fraudulent investment? (select one)"
"87","Q15","How able are you to resist high-pressure sales tactics when buying investments? (select one)"
"88","Q17","Have you ever encountered a situation in which someone was pitching a potentially fraudulent investment, but you avoided investing or losing money?  (select one)"
"89","Q19","If yes, how many times has this happened?"
"90","Q21","If yes, in which situation(s) did you encounter the potentially fraudulent investment (select one or more)"
"91","Q23","Please describe the potentially fraudulent situation(s)."
"92","Q25","If yes, who was offering the potentially fraudulent investment? (select one or more)"
"93","Q27","Please describe who was offering the potentially fraudulent investment."
"94","Q199_1","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Enthusiastic"
"95","Q199_2","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Dull"
"96","Q199_3","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Excited"
"97","Q199_4","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Sleepy"
"98","Q199_5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Strong"
"99","Q199_6","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Sluggish"
"100","Q201_1","Over the course of a typical week, I ACTUALLY feel‰Û_ - Euphoric"
"101","Q201_2","Over the course of a typical week, I ACTUALLY feel‰Û_ - Idle"
"102","Q201_3","Over the course of a typical week, I ACTUALLY feel‰Û_ - Aroused"
"103","Q201_4","Over the course of a typical week, I ACTUALLY feel‰Û_ - Rested"
"104","Q201_5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Astonished"
"105","Q201_6","Over the course of a typical week, I ACTUALLY feel‰Û_ - Quiet"
"106","Q203_1","Over the course of a typical week, I ACTUALLY feel‰Û_ - Surprised"
"107","Q203_2","Over the course of a typical week, I ACTUALLY feel‰Û_ - Still"
"108","Q203_3","Over the course of a typical week, I ACTUALLY feel‰Û_ - Passive"
"109","Q203_4","Over the course of a typical week, I ACTUALLY feel‰Û_ - Inactive"
"110","Q203_5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Fearful"
"111","Q203_6","Over the course of a typical week, I ACTUALLY feel‰Û_ - Calm"
"112","Q204_1","Over the course of a typical week, I ACTUALLY feel‰Û_ - Hostile"
"113","Q204_2","Over the course of a typical week, I ACTUALLY feel‰Û_ - Peaceful"
"114","Q204_3","Over the course of a typical week, I ACTUALLY feel‰Û_ - Nervous"
"115","Q204_4","Over the course of a typical week, I ACTUALLY feel‰Û_ - Relaxed"
"116","Q204_5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Elated"
"117","Q204_6","Over the course of a typical week, I ACTUALLY feel‰Û_ - Lonely"
"118","Q211","Imagine that we roll a fair, six-sided die 1,000 times. (That would mean that we roll one die from a pair of dice.) Out of 1,000 rolls, how many times do you think the die would come up as an even number?"
"119","Q213","In the BIG BUCKS LOTTERY, the chances of winning a $10.00 prize are 1%. What is your
best guess about how many people would win a $10.00 prize if 1,000 people each buy a single
ticket from BIG BUCKS?"
"120","Q215","In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000.
What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car?"
"121","Q217","Which of the following numbers represents the biggest risk of getting a disease?"
"122","Q219","Which of the following numbers represents the biggest risk of getting a disease?"
"123","Q221","If Person A‰Ûªs risk of getting a disease is 1% in ten years, and Person B‰Ûªs risk is double that of
A‰Ûªs, what is B‰Ûªs risk?"
"124","Q223","If Person A‰Ûªs chance of getting a disease is 1 in 100 in ten years, and person B‰Ûªs risk is
double that of A, what is B‰Ûªs risk?"
"125","Q225_1","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 100?"
"126","Q225_2","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 1000?"
"127","Q227","If the chance of getting a disease is 20 out of 100, this would be the same as having what chance of survival?"
"128","Q229","The chance of getting a viral infection is .0005. Out of 10,000 people, about how many of them are expected to get infected?"
"129","Q231","Which of the following numbers represents the biggest risk of getting a disease?"
"130","Q233","Suppose you have a close friend who has a lump in her breast and must have a mammogram. Of 100 women like her, 10 of them actually have a malignant tumor and 90 of them do not. Of the 10 women who actually have a tumor, the mammogram indicates correctly that 9 of them have a tumor and indicates incorrectly that 1 of them does not have a tumor. Of the 90 women who do not have a tumor, the mammogram indicates correctly that 81 of them do not have a tumor and indicates incorrectly that 9 of them do have a tumor. The table below summarizes all of this information. Imagine that your friend tests positive (as if she had a tumor), what is the likelihood that she actually has a tumor?"
"131","Q235","Imagine that you are taking a class and your chances of being asked a question in class are
1% during the first week of class and double each week thereafter (i.e., you would have a
2% chance in Week 2, a 4% chance in Week 3, an 8% chance in Week 4). What is the
probability (in percent) that you will be asked a question in class during Week 7?"
"132","Q237","Suppose that 1 out of every 10,000 doctors in a certain region is infected with the SARS virus; in the same region, 20 out of every 100 people in a particular at-risk population also are infected with the virus. A test for the virus gives a positive result in 99% of those who are infected and in 1% of those who are not infected. A randomly selected doctor and a randomly selected person in the at-risk population in this region both test positive for the disease. Who is more likely to actually have the disease?"
"133","Q224","How good are you at working with bar charts?"
"134","Q226","How good are you at working with line plots?"
"135","Q228","How good are you at working with pie charts?"
"136","Q230","How good are you at inferring the size of a bar in a bar chart?"
"137","Q232","How good are you at determining the difference between 2 bars in a bar
chart?"
"138","Q234","How good are you at projecting a future trend from a line chart?"
"139","Q236","Are graphs easier to understand than numbers?"
"140","Q238","How often do you find graphical information to be useful?"
"141","Q240","To what extent do you believe in the saying ‰Û÷‰Û÷a picture is worth one thousand
words‰Ûª‰Ûª?"
"142","Q242","When reading books or newspapers, how helpful do you find graphs that are
part of a story?"
"143","Q245.1","Please enter your date of birth (mm/dd/yyyy)"
"144","SC0","Score"
"145","opp","opp"
"146","rid","rid"
"147","RISN","RISN"
"148","Q_TotalDuration","Q_TotalDuration"
"149","collection","collection"
"150","gid","gid"
"151","sname","sname"
"152","TolunEnc","TolunEnc"
"153","gc","gc"
"154","term","term"
"155","LABottomIndex","LABottomIndex"
"156","GSTopIndex","GSTopIndex"
"157","LALow","LALow"
"158","Enter.Embedded.Data.Field.Name.Here...","Enter Embedded Data Field Name Here..."
"159","LAHigh","LAHigh"
"160","LAScore","LAScore"
"161","InconsistentRange","InconsistentRange"
"162","LS","LS"
